time,temperatura,hora,mes,dia_del_año,temp_hora_anterior
2022-01-01 01:00:00,9.4,1,1,1,10.4
2022-01-01 02:00:00,8.6,2,1,1,9.4
2022-01-01 03:00:00,8.1,3,1,1,8.6
2022-01-01 04:00:00,7.5,4,1,1,8.1
2022-01-01 05:00:00,6.9,5,1,1,7.5
2022-01-01 06:00:00,6.4,6,1,1,6.9
2022-01-01 07:00:00,6.2,7,1,1,6.4
2022-01-01 08:00:00,7.8,8,1,1,6.2
2022-01-01 09:00:00,11.8,9,1,1,7.8
2022-01-01 10:00:00,15.1,10,1,1,11.8
2022-01-01 11:00:00,17.8,11,1,1,15.1
2022-01-01 12:00:00,20.0,12,1,1,17.8
2022-01-01 13:00:00,22.0,13,1,1,20.0
2022-01-01 14:00:00,23.3,14,1,1,22.0
2022-01-01 15:00:00,24.2,15,1,1,23.3
2022-01-01 16:00:00,24.8,16,1,1,24.2
2022-01-01 17:00:00,24.5,17,1,1,24.8
2022-01-01 18:00:00,23.0,18,1,1,24.5
2022-01-01 19:00:00,21.0,19,1,1,23.0
2022-01-01 20:00:00,18.6,20,1,1,21.0
2022-01-01 21:00:00,17.1,21,1,1,18.6
2022-01-01 22:00:00,17.6,22,1,1,17.1
2022-01-01 23:00:00,14.1,23,1,1,17.6
2022-01-02 00:00:00,13.9,0,1,2,14.1
2022-01-02 01:00:00,12.4,1,1,2,13.9
2022-01-02 02:00:00,11.1,2,1,2,12.4
2022-01-02 03:00:00,11.8,3,1,2,11.1
2022-01-02 04:00:00,11.9,4,1,2,11.8
2022-01-02 05:00:00,10.6,5,1,2,11.9
2022-01-02 06:00:00,9.5,6,1,2,10.6
2022-01-02 07:00:00,9.1,7,1,2,9.5
2022-01-02 08:00:00,9.9,8,1,2,9.1
2022-01-02 09:00:00,13.5,9,1,2,9.9
2022-01-02 10:00:00,16.8,10,1,2,13.5
2022-01-02 11:00:00,19.3,11,1,2,16.8
2022-01-02 12:00:00,21.2,12,1,2,19.3
2022-01-02 13:00:00,23.0,13,1,2,21.2
2022-01-02 14:00:00,24.4,14,1,2,23.0
2022-01-02 15:00:00,24.5,15,1,2,24.4
2022-01-02 16:00:00,22.9,16,1,2,24.5
2022-01-02 17:00:00,19.9,17,1,2,22.9
2022-01-02 18:00:00,19.7,18,1,2,19.9
2022-01-02 19:00:00,15.7,19,1,2,19.7
2022-01-02 20:00:00,13.2,20,1,2,15.7
2022-01-02 21:00:00,12.1,21,1,2,13.2
2022-01-02 22:00:00,11.2,22,1,2,12.1
2022-01-02 23:00:00,10.3,23,1,2,11.2
2022-01-03 00:00:00,9.7,0,1,3,10.3
2022-01-03 01:00:00,9.1,1,1,3,9.7
2022-01-03 02:00:00,8.8,2,1,3,9.1
2022-01-03 03:00:00,8.4,3,1,3,8.8
2022-01-03 04:00:00,8.1,4,1,3,8.4
2022-01-03 05:00:00,7.8,5,1,3,8.1
2022-01-03 06:00:00,7.8,6,1,3,7.8
2022-01-03 07:00:00,7.8,7,1,3,7.8
2022-01-03 08:00:00,7.8,8,1,3,7.8
2022-01-03 09:00:00,8.4,9,1,3,7.8
2022-01-03 10:00:00,10.1,10,1,3,8.4
2022-01-03 11:00:00,13.2,11,1,3,10.1
2022-01-03 12:00:00,16.9,12,1,3,13.2
2022-01-03 13:00:00,19.7,13,1,3,16.9
2022-01-03 14:00:00,21.6,14,1,3,19.7
2022-01-03 15:00:00,22.6,15,1,3,21.6
2022-01-03 16:00:00,23.0,16,1,3,22.6
2022-01-03 17:00:00,22.5,17,1,3,23.0
2022-01-03 18:00:00,20.6,18,1,3,22.5
2022-01-03 19:00:00,18.8,19,1,3,20.6
2022-01-03 20:00:00,17.1,20,1,3,18.8
2022-01-03 21:00:00,15.9,21,1,3,17.1
2022-01-03 22:00:00,14.5,22,1,3,15.9
2022-01-03 23:00:00,13.4,23,1,3,14.5
2022-01-04 00:00:00,11.9,0,1,4,13.4
2022-01-04 01:00:00,10.8,1,1,4,11.9
2022-01-04 02:00:00,9.6,2,1,4,10.8
2022-01-04 03:00:00,8.9,3,1,4,9.6
2022-01-04 04:00:00,7.9,4,1,4,8.9
2022-01-04 05:00:00,7.3,5,1,4,7.9
2022-01-04 06:00:00,6.8,6,1,4,7.3
2022-01-04 07:00:00,6.9,7,1,4,6.8
2022-01-04 08:00:00,8.4,8,1,4,6.9
2022-01-04 09:00:00,11.9,9,1,4,8.4
2022-01-04 10:00:00,15.5,10,1,4,11.9
2022-01-04 11:00:00,18.2,11,1,4,15.5
2022-01-04 12:00:00,20.5,12,1,4,18.2
2022-01-04 13:00:00,22.3,13,1,4,20.5
2022-01-04 14:00:00,23.6,14,1,4,22.3
2022-01-04 15:00:00,24.5,15,1,4,23.6
2022-01-04 16:00:00,24.6,16,1,4,24.5
2022-01-04 17:00:00,24.1,17,1,4,24.6
2022-01-04 18:00:00,23.0,18,1,4,24.1
2022-01-04 19:00:00,19.6,19,1,4,23.0
2022-01-04 20:00:00,17.2,20,1,4,19.6
2022-01-04 21:00:00,15.9,21,1,4,17.2
2022-01-04 22:00:00,14.9,22,1,4,15.9
2022-01-04 23:00:00,14.6,23,1,4,14.9
2022-01-05 00:00:00,14.2,0,1,5,14.6
2022-01-05 01:00:00,11.9,1,1,5,14.2
2022-01-05 02:00:00,10.9,2,1,5,11.9
2022-01-05 03:00:00,11.7,3,1,5,10.9
2022-01-05 04:00:00,10.9,4,1,5,11.7
2022-01-05 05:00:00,10.6,5,1,5,10.9
2022-01-05 06:00:00,9.9,6,1,5,10.6
2022-01-05 07:00:00,10.1,7,1,5,9.9
2022-01-05 08:00:00,9.9,8,1,5,10.1
2022-01-05 09:00:00,12.9,9,1,5,9.9
2022-01-05 10:00:00,16.4,10,1,5,12.9
2022-01-05 11:00:00,19.5,11,1,5,16.4
2022-01-05 12:00:00,21.8,12,1,5,19.5
2022-01-05 13:00:00,23.2,13,1,5,21.8
2022-01-05 14:00:00,24.1,14,1,5,23.2
2022-01-05 15:00:00,24.6,15,1,5,24.1
2022-01-05 16:00:00,24.7,16,1,5,24.6
2022-01-05 17:00:00,24.5,17,1,5,24.7
2022-01-05 18:00:00,23.1,18,1,5,24.5
2022-01-05 19:00:00,19.8,19,1,5,23.1
2022-01-05 20:00:00,18.0,20,1,5,19.8
2022-01-05 21:00:00,15.8,21,1,5,18.0
2022-01-05 22:00:00,14.1,22,1,5,15.8
2022-01-05 23:00:00,12.5,23,1,5,14.1
2022-01-06 00:00:00,11.6,0,1,6,12.5
2022-01-06 01:00:00,10.9,1,1,6,11.6
2022-01-06 02:00:00,10.4,2,1,6,10.9
2022-01-06 03:00:00,9.9,3,1,6,10.4
2022-01-06 04:00:00,9.9,4,1,6,9.9
2022-01-06 05:00:00,9.6,5,1,6,9.9
2022-01-06 06:00:00,8.6,6,1,6,9.6
2022-01-06 07:00:00,8.1,7,1,6,8.6
2022-01-06 08:00:00,9.6,8,1,6,8.1
2022-01-06 09:00:00,13.6,9,1,6,9.6
2022-01-06 10:00:00,16.8,10,1,6,13.6
2022-01-06 11:00:00,19.5,11,1,6,16.8
2022-01-06 12:00:00,21.7,12,1,6,19.5
2022-01-06 13:00:00,23.0,13,1,6,21.7
2022-01-06 14:00:00,23.7,14,1,6,23.0
2022-01-06 15:00:00,24.4,15,1,6,23.7
2022-01-06 16:00:00,24.3,16,1,6,24.4
2022-01-06 17:00:00,20.0,17,1,6,24.3
2022-01-06 18:00:00,15.9,18,1,6,20.0
2022-01-06 19:00:00,14.1,19,1,6,15.9
2022-01-06 20:00:00,14.0,20,1,6,14.1
2022-01-06 21:00:00,13.2,21,1,6,14.0
2022-01-06 22:00:00,12.5,22,1,6,13.2
2022-01-06 23:00:00,11.9,23,1,6,12.5
2022-01-07 00:00:00,10.4,0,1,7,11.9
2022-01-07 01:00:00,9.4,1,1,7,10.4
